mainbody-00003	18	23	/m/03_3d	Q17	JAPAN	3	0.07
mainbody-00003	183	188	/m/03_3d	Q17	JAPAN	3	0.07
mainbody-00003	391	396	/m/03_3d	Q17	JAPAN	3	0.07
mainbody-00003	1823	1827	/m/0z90c	Q58024	eBay	3	0.995759
mainbody-00003	2121	2127	/m/01btsf	Q483959	PayPal	3	1
mainbody-00003	2655	2674	/m/0dcms	Q668687	U.S. Postal Service	3	0
mainbody-00003	3302	3306	/m/0z90c	Q58024	eBay	3	0.995759
mainbody-00003	4351	4356	/m/03_3d	Q17	Japan	3	0.95926
mainbody-00003	4454	4459	/m/03_3d	Q17	Japan	3	0
mainbody-00003	4567	4572	/m/03_3d	Q17	JAPAN	3	0.95926
mainbody-00007	20	31	/m/0d35y	Q16556	Phoenix, AZ	3	1
mainbody-00008	16	26	/m/0c_m3	Q16563	Memphis TN	3	1
mainbody-00008	358	367	/m/0hk_v	Q181394	Nutrients	3	0.05
mainbody-00008	584	591	/m/0c_m3	Q16563	Memphis	3	0.553403
mainbody-00008	1792	1799	/m/0b90_r	Q96	Mexican	3	0
mainbody-00008	4294	4310	/m/0wpzc	Q867475	Olive Branch, MS	3	0
mainbody-00008	4391	4407	/m/0wpzc	Q867475	Olive Branch, MS	3	0
mainbody-00008	4807	4821	/m/0_wt4	Q588898	Germantown, TN	3	0.777778
mainbody-00008	4911	4925	/m/0_wt4	Q588898	Germantown, TN	3	0.777778
mainbody-00008	5523	5533	/m/03m1r0	Q410063	Highway 70	3	0
mainbody-00008	5535	5548	/m/0_ws3	Q2508961	Arlington, TN	3	1
mainbody-00008	5620	5630	/m/03m1r0	Q410063	Highway 70	3	0
mainbody-00008	5632	5645	/m/0_ws3	Q2508961	Arlington, TN	3	1
mainbody-00008	5957	5968	/m/0c_m3	Q16563	Memphis, TN	3	1
mainbody-00008	6052	6063	/m/0c_m3	Q16563	Memphis, TN	3	1
mainbody-00008	6550	6560	/m/03m1nj	Q410000	Highway 64	3	0
